Epoch,Open,High,Low,Close,Volume,Number
2023-12-17 01:50:00+00:00,2220.24,2225.54,2219.11,2224.04,2194092.835522,1770
2023-12-17 01:55:00+00:00,2224.04,2225.55,2222.91,2223.09,4192073.6992949997,1419
2023-12-17 02:00:00+00:00,2223.09,2224.4,2221.65,2223.38,1169560.02212,1325
2023-12-17 02:05:00+00:00,2223.38,2227.13,2223.37,2227.12,898468.771661,1054
2023-12-17 02:10:00+00:00,2227.12,2229.96,2227.12,2227.95,932973.518537,1152
2023-12-17 02:15:00+00:00,2227.95,2228.01,2226.6,2227.03,374864.434708,798
2023-12-17 02:20:00+00:00,2227.03,2227.76,2225.13,2225.97,696935.319595,844
2023-12-17 02:25:00+00:00,2225.97,2225.98,2224.39,2225.13,619779.645054,874
2023-12-17 02:30:00+00:00,2225.13,2225.67,2223.4,2224.38,825309.8967909999,893
2023-12-17 02:35:00+00:00,2224.38,2224.4,2221.7,2223.42,520438.21458699997,1214
2023-12-17 02:40:00+00:00,2223.42,2223.79,2221.28,2222.21,1555919.704733,1356
2023-12-17 02:45:00+00:00,2222.21,2223.39,2220.0,2222.8,1101789.949605,1444
2023-12-17 02:50:00+00:00,2222.8,2223.22,2217.11,2217.8,2196229.160284,1685
2023-12-17 02:55:00+00:00,2217.8,2218.6,2210.77,2213.75,19089397.886428002,4356
2023-12-17 03:00:00+00:00,2213.75,2218.1,2213.14,2216.28,1987367.965035,1498
2023-12-17 03:05:00+00:00,2216.28,2217.13,2214.24,2214.71,1163944.945436,1257
2023-12-17 03:10:00+00:00,2214.71,2216.4,2211.47,2214.41,2082355.644791,1640
2023-12-17 03:15:00+00:00,2214.41,2217.95,2214.1,2217.0,1483059.315553,1251
2023-12-17 03:20:00+00:00,2217.0,2218.01,2214.71,2217.79,1050780.694658,1118
2023-12-17 03:25:00+00:00,2217.79,2221.1,2216.93,2220.21,1116277.476279,1432
2023-12-17 03:30:00+00:00,2220.21,2220.6,2217.73,2218.44,695968.809233,1027
2023-12-17 03:35:00+00:00,2218.44,2220.05,2218.0,2219.83,1481479.262049,1157
